store,app_id,rating,title,content,user,date,thumbs_up,app_version,app_name,full_text,theme,is_feature_request,india_signal
play,com.despdev.quitsmoking,1,,very very pathetic application. The payment went through for annual subscription but premium access is not provided. Already mailed to the app owner but there is no response from other side. This is so so bad.,Anurag Bhattacharya,2026-04-11 00:53:10,0,,Quit Tracker: Stop Smoking,. very very pathetic application. The payment went through for annual subscription but premium access is not provided. Already mailed to the app owner but there is no response from other side. This is so so bad.,subscription_issues,False,False
play,com.despdev.quitsmoking,1,,First question:when did you quit smoking. This app is for after you quoted to calculate how much money you saved. Very bad design and most comments I see are Bots,Antoni Daniela,2026-04-08 14:50:26,0,2.32,Quit Tracker: Stop Smoking,. First question:when did you quit smoking. This app is for after you quoted to calculate how much money you saved. Very bad design and most comments I see are Bots,ui_ux,False,False
play,com.despdev.quitsmoking,1,,doesn't allow you to transfer data without paying. Alternatively you cannot input the date that you quit manually,Ellen West,2026-02-25 04:52:56,0,2.31,Quit Tracker: Stop Smoking,. doesn't allow you to transfer data without paying. Alternatively you cannot input the date that you quit manually,data_privacy,False,False
play,com.despdev.quitsmoking,1,,I think the data on here is compromised.,Joseph “Joe” Stafiej II,2026-01-29 19:47:37,0,2.30,Quit Tracker: Stop Smoking,. I think the data on here is compromised.,data_privacy,False,False
play,com.despdev.quitsmoking,1,,pay to use. made me download and fill my info for nothing,Kevin Wang,2025-11-06 18:13:20,0,2.25,Quit Tracker: Stop Smoking,. pay to use. made me download and fill my info for nothing,paywall_pricing,False,False
play,com.portablepixels.smokefree,1,,terrible no help whatsoever just a lot of dribble,Ian,2026-03-19 01:06:11,0,,Smoke Free - quit smoking now,. terrible no help whatsoever just a lot of dribble,content_quality,False,False
play,com.portablepixels.smokefree,1,,advertised as free but only wants money to jion,Michael Sheridan,2026-03-15 22:38:16,0,6.4.49,Smoke Free - quit smoking now,. advertised as free but only wants money to jion,ads,False,False
play,com.portablepixels.smokefree,1,,"now is mandatory to share your data,ex: email. big dislike if you can't proceed further without",Dragos Gabriel,2026-01-18 22:47:39,0,,Smoke Free - quit smoking now,". now is mandatory to share your data,ex: email. big dislike if you can't proceed further without",data_privacy,False,False
play,com.portablepixels.smokefree,1,,gave up after 10 mins of registration... can i just try the app without giving all my personal data??,Jakub Klucznik,2026-01-18 14:09:00,0,,Smoke Free - quit smoking now,. gave up after 10 mins of registration... can i just try the app without giving all my personal data??,data_privacy,False,False
play,com.portablepixels.smokefree,1,,The app is iinfuriating - unable to reset basic information like the date I stopped smoking without having to go through to developers. Given the nature of smoking - this is something that can change quite easily and therefore you should be able to alter it if necessary yourself,Niamh O'Loughlin,2026-01-02 18:24:37,0,6.4.45,Smoke Free - quit smoking now,. The app is iinfuriating - unable to reset basic information like the date I stopped smoking without having to go through to developers. Given the nature of smoking - this is something that can change quite easily and therefore you should be able to alter it if necessary yourself,content_quality,False,False
play,com.portablepixels.smokefree,1,,celan not be used without login,kosta svrdlan,2025-11-24 17:00:37,0,,Smoke Free - quit smoking now,. celan not be used without login,login_account,False,False
play,com.portablepixels.smokefree,1,,Decent app EXCEPT it will continuously show you notification dots intentionally trying to get you to keep re-opening for no reason...,Roy_ Royce,2025-10-22 17:30:12,0,6.4.40,Smoke Free - quit smoking now,. Decent app EXCEPT it will continuously show you notification dots intentionally trying to get you to keep re-opening for no reason...,notifications,False,False
